"Title: State Data and Policy Actions to Address Coronavirus | The Henry J. Kaiser Family Foundation"
"Timeframe: as of 4/6/2020 at 3:56 PM"
"Location","Number of COVID-19 Cases","COVID-19 Cases per 1,000,000 Population","Deaths from COVID-19","COVID-19 Deaths per 1,000,000 Population",Footnotes
"United States","356,942","1087.443696","10524","32.06195252","1"
"Alabama","1,952","398.108576","49","9.993504222"
"Alaska","185","252.889433","6","8.201819437"
"Arizona","2,732","375.340874","65","8.930145244"
"Arkansas","854","282.987232","16","5.301868511"
"California","15,207","384.868247","351","8.883327066"
"Colorado","4,950","859.563626","140","24.31089045"
"Connecticut","5,675","1591.737215","189","53.01116011"
"Delaware","673","691.132554","14","14.37720023"
"District of Columbia","1097","1554.376981","24","34.00642438"
"Florida","13,317","620.03739","235","10.94156242"
"Georgia","7,314","688.867722","229","21.56832218"
"Hawaii","371","262.029336","4","2.825114135"
"Idaho","1101","616.093987","10","5.595767362"
"Illinois","11,260","888.585784","276","21.7806107"
"Indiana","4,944","734.378962","139","20.64698133"
"Iowa","946","299.834869","25","7.923754465"
"Kansas","849","291.420698","25","8.581292645"
"Kentucky","955","213.757811","45","10.07235758"
"Louisiana","14,867","3198.033727","512","110.1360912"
"Maine","499","371.221206","10","7.439302729"
"Maryland","4,045","669.072792","91","15.05207024"
"Massachusetts","12,500","1813.56468","231","33.51467529"
"Michigan","15,718","1573.868535","617","61.78119903"
"Minnesota","986","174.834103","31","5.496812558"
"Mississippi","1,738","583.976138","51","17.13623881"
"Missouri","2,464","401.471105","52","8.472604485"
"Montana","299","279.758753","6","5.61388801"
"Nebraska","409","211.434196","8","4.135632193"
"Nevada","1,953","634.058794","46","14.93430852"
"New Hampshire","669","492.016318","9","6.619053608"
"New Jersey","41,090","4626.111353","1003","112.9226013"
"New Mexico","686","327.160679","12","5.722927335"
"New York","130,689","6717.998828","4758","244.58247"
"North Carolina","2,900","276.504269","43","4.099890886"
"North Dakota","225","295.251567","3","3.936687566"
"Ohio","4,452","380.867646","142","12.14806957"
"Oklahoma","1329","335.862962","51","12.88864639"
"Oregon","1068","253.216357","27","6.401537128"
"Pennsylvania","13,003","1015.701545","162","12.65428364"
"Rhode Island","922","870.335986","25","23.59913193"
"South Carolina","2,049","397.963453","44","8.545823287"
"South Dakota","288","325.549166","4","4.5215162"
"Tennessee","3,633","531.982345","53","7.76082144"
"Texas","7,359","253.794668","143","4.931734959"
"Utah","1,612","502.813824","8","2.495353963"
"Vermont","543","870.207648","23","36.85962413"
"Virginia","2,878","337.179262","66","7.73239448"
"Washington","7,984","1048.471725","343","45.04331184"
"West Virginia","345","192.50653","3","1.673969825"
"Wisconsin","2,320","398.458789","75","12.88121085"
"Wyoming","210","362.845329","0","0"
"Puerto Rico","513","160.62904","21","6.575457761"
"Guam","113","NA","4","NA"
"USVI","42","NA","1","NA"
"Northern Mariana Islands","8","NA","1","NA"
"Notes"
"Data as of 4/6/2020 at 3:56 PM."
""
"Data source may be updated more regularly. For most current data, see [Coronavirus COVID-19 Global Cases by the Center for Systems Science and Engineering (CSSE) at Johns Hopkins University](https://coronavirus.jhu.edu/map.html)."

"Sources"
"Johns Hopkins University, [Coronavirus COVID-19 Global Cases by the Center for Systems Science and Engineering (CSSE)](https://coronavirus.jhu.edu/map.html)."
""
"2019 Population data from Annual Population Estimates by State, U.S. Census Bureau; available at [http://www.census.gov/popest/](http://www.census.gov/popest/)."


Footnotes
"1. US total includes territories and the 152 cases and 3 deaths from the Grand Princess and Diamond Princess cruise ships."

